§,FranchiseName,FranchiseLocation,BillingStaffName,BillingTimeStamp,ServeStaffName,ServeTimeStamp,ChefStaffName,ChefTimeStamp,CustomerName,CustomerLoyaltyNumber,CustomerEmail,CustomerMobileNumber,SaleDateTime,PaymentType,CreditCardDetails,OrderType,CarPlateNumber,DeliveryRequired,DeliveryStaffName,DeliveryTimeStamp,TotalBillValue,FoodItemsPurchased,TaxAmount,DeliveryFees,DiscountAmount,AppliedOfferName,CouponName
11,EtaBetaPi_13,Columbus,Ashley Lynch,50:59.6,Tammie Murphy,21:19.7,Elijah Bailey,51:13.1,Julia Buchanan,LOY-5758,michaeljohnson@example.org,655.284.6908,04:16.0,Cash,,Uber Eats,925 EGC,Yes,Brittany Smith,,268.84,"Milkshake, Pizza",45.62,19.06,1.11,Buy 1 Get 1 Free,
12,EtaBetaPi_25,Austin,Brian Obrien,23:13.7,Brittany Smith,00:50.6,Ellen Morgan,29:22.8,Julia Buchanan,LOY-4351,michaeljohnson@example.org,001-201-924-4899x817,06:12.8,Digital Wallet,,Inhouse,,No,Elizabeth Bennett,02:08.6,89.07,"Chicken Nuggets, Chicken Sandwich, Veggie Burger",26.84,3.49,17.73,Free Fries with Burger,
13,EtaBetaPi_27,Austin,Benjamin Gardner,33:10.3,Samuel Parker,48:51.1,Danielle Luna,23:40.4,Seth Oliver,LOY-3625,jeremycox@example.org,350.474.8770x101,06:21.8,Credit Card,,Uber Eats,,Yes,Randy Schmidt,,412.21,Burrito,36.82,15.67,21.38,,
14,EtaBetaPi_21,Seattle,Danielle Luna,00:17.0,Joshua Norton,45:43.3,Jessica Maxwell,47:00.1,Sean Griffith,LOY-1775,johnwalker@example.com,001-205-309-1667,52:47.6,Cash,**** **** **** 2822,Online,,No,Randy Schmidt,,408.94,Pizza,40.7,5.56,6.48,20% Off,Coupon-982
15,EtaBetaPi_11,Philadelphia,Bobby Tucker,25:41.2,Lisa Murphy,08:08.3,Michael Johnson,38:34.3,Nicole Thomas,,kclark@example.com,452.460.2990x58015,18:42.2,Cash,**** **** **** 9216,Drive Through,OZX-8566,No,Samuel Parker,32:53.1,213.88,"Pasta, Salad, Pepsi",10.55,5.2,20.76,20% Off,Coupon-400
16,EtaBetaPi_18,San Diego,Sara Moore MD,06:16.9,Seth Pope,46:10.6,Christopher Sanchez,31:11.9,Dylan Scott,LOY-1161,owilson@example.net,975.501.6547x30901,49:55.9,Credit Card,,Inhouse,97S 998,No,Jeffery Luna,,499.89,Smoothie,26.6,12.71,17.76,Buy 1 Get 1 Free,Coupon-560
17,EtaBetaPi_22,Las Vegas,Holly Gordon,01:25.9,Lisa Murphy,30:54.9,Michael Johnson,34:46.4,Emily Abbott,LOY-2914,fblanchard@example.net,(973)354-1351,04:37.1,Digital Wallet,,Inhouse,,Yes,Michael Johnson,,207.93,Coke,37.61,17.47,17.81,,Coupon-153
18,EtaBetaPi_20,Baltimore,Mr. Steven Hodges,23:31.7,Jack Swanson,35:43.4,Paul King,43:30.9,Monica Oliver MD,LOY-2225,jeangarcia@example.net,+1-332-333-8483x899,26:34.0,Cash,**** **** **** 8564,Uber Eats,P17-ZKA,No,Benjamin Gardner,,84.92,"Smoothie, Milkshake",41.32,7.13,22.99,Free Fries with Burger,
19,EtaBetaPi_06,New York,Michael Johnson,49:23.5,Bryan Sanders,56:05.1,Seth Pope,30:29.9,Christine Roberts,,haleybrown@example.org,875.497.1227,46:23.0,Cash,**** **** **** 7337,Drive Through,,Yes,Holly Gordon,27:39.3,289.18,"Pizza, Smoothie",29.79,16.14,3.34,Free Fries with Burger,Coupon-998
20,EtaBetaPi_30,Columbus,Elizabeth Bennett,14:41.5,Michael Johnson,54:16.9,Sara Moore MD,22:37.6,Cynthia Aguirre,LOY-9561,ochoatammy@example.org,223.220.8427x89515,47:55.5,Cash,,Online,1CFG 69,Yes,Joshua Fitzpatrick,,344.73,"Fish Sandwich, Veggie Burger, Smoothie, Coke",30.8,15.08,29.77,Buy 1 Get 1 Free,Coupon-518
21,EtaBetaPi_07,Los Angeles,Tammie Murphy,43:52.9,Sue Gillespie,35:51.5,Sean Wilson DDS,52:25.4,Sarah Wood,,hannah01@example.net,357-903-5328x029,23:33.7,Digital Wallet,,Online,,No,Brian Obrien,17:53.9,13.07,"Mozzarella Sticks, Pepsi, Hot Dog",48.43,3.19,20.47,,
22,EtaBetaPi_10,Charlotte,Sue Gillespie,56:36.4,Sue Gillespie,23:08.5,Samuel Parker,33:06.0,Joseph House,LOY-2123,campospaige@example.com,604-370-1325x78634,13:47.3,Credit Card,,Inhouse,965-FVI,Yes,Donna Smith,,137.18,Ice Cream,42.69,18.89,1.34,,
23,EtaBetaPi_09,Houston,Kara Sanchez,49:53.6,Leah Gonzales,58:33.0,Alicia Dixon,12:18.9,Reginald Hanson,LOY-5760,leslie60@example.org,745-823-4006x8734,01:17.0,Credit Card,**** **** **** 9905,Uber Eats,44U A85,Yes,Nicole Chavez,,92.25,Coke,40.11,18.73,18.62,20% Off,
24,EtaBetaPi_11,Boston,Kara Sanchez,40:53.2,Jeffery Luna,01:26.8,Christopher Sanchez,45:44.6,Timothy Brooks,LOY-6663,kmcknight@example.net,(580)214-9514x486,08:11.6,Credit Card,**** **** **** 1565,Inhouse,MPK 018,Yes,Ricardo Kirk,20:36.3,474.96,"Pepsi, Cheeseburger",12.33,18.92,3.44,20% Off,
25,EtaBetaPi_11,Portland,Margaret Fisher,22:01.4,Jonathan Smith,32:44.1,Andrea Vasquez,50:36.3,Jodi Harrington,LOY-5579,kimbethany@example.com,001-233-704-2043x357,34:39.2,Credit Card,,Online,ZAQ 232,No,Margaret Fisher,,60.87,"Chicken Sandwich, Pepsi, Cheeseburger",41.75,15.5,10.7,,
26,EtaBetaPi_19,San Diego,Samuel Parker,21:06.7,Sue Gillespie,19:54.1,Holly Gordon,14:33.4,Karen Flores,LOY-2575,campospaige@example.com,+1-426-561-4217x927,55:35.2,Credit Card,,Uber Eats,,No,Nicole Pittman,02:15.8,258.55,"Coffee, Pizza, Chicken Sandwich, Pepsi",46.39,14.08,1.19,20% Off,Coupon-797
27,EtaBetaPi_03,Las Vegas,Sean Wilson DDS,02:41.1,Samuel Parker,32:20.7,Randy Schmidt,16:08.1,Hannah Johnson,LOY-1970,samuel91@example.net,6536885824,19:55.0,Credit Card,**** **** **** 8464,Online,741217,No,Sydney Henderson,38:00.2,404.95,Veggie Burger,35.78,10.66,24.46,,
28,EtaBetaPi_09,Miami,Margaret Fisher,09:42.0,Cristina Duke,31:37.1,Nicole Chavez,35:34.5,Mark Ball,LOY-4539,serranodeanna@example.org,+1-379-727-4829x8364,29:40.8,Credit Card,**** **** **** 7225,Drive Through,,Yes,Bobby Tucker,,438.45,"Coffee, Chicken Nuggets, Pasta, Chicken Sandwich",43.43,1.94,10.34,Free Fries with Burger,
29,EtaBetaPi_24,Baltimore,Ellen Morgan,58:58.7,Randy Schmidt,53:41.7,Nathan Hernandez,37:59.1,Sean Griffith,LOY-3877,smurphy@example.org,(946)697-8501,48:56.3,Digital Wallet,**** **** **** 1245,Drive Through,CFU-8174,No,Brittany Smith,,462.87,"Chicken Nuggets, Taco",42.71,1.84,3.79,20% Off,Coupon-638
30,EtaBetaPi_29,San Diego,Nicole Chavez,10:46.8,Paul King,32:54.1,Kelly Perkins,53:35.4,Mr. Darrell Daniel,LOY-7134,kmyers@example.net,(787)801-4484x1612,14:17.4,Cash,**** **** **** 9205,Inhouse,,Yes,Mr. Steven Hodges,11:17.9,398.26,Coffee,15.75,3.28,20.87,Family Pack Offer,Coupon-161
31,EtaBetaPi_25,Miami,Ellen Morgan,21:54.8,Eric Nelson,49:15.7,Kimberly Thompson,40:11.0,Karen Johnson,LOY-6206,erikahale@example.com,889.825.1860x131,40:04.7,Cash,,Online,876455,No,Mallory Patrick,,440.28,"Salad, Smoothie, Coke, Ice Cream",16.62,8.69,20.99,20% Off,
32,EtaBetaPi_28,Charlotte,Ellen Morgan,05:51.0,Deanna Wood,43:00.1,Christopher Sanchez,37:56.4,Cindy Nichols,LOY-9042,gregory50@example.net,+1-249-860-1527x5720,37:14.4,Cash,,Online,,Yes,Danielle Luna,11:44.4,215.82,Burrito,41.57,5.97,23.56,,
33,EtaBetaPi_09,New York,Sue Gillespie,13:49.5,Ashley Lynch,54:39.2,Donna Smith,52:40.6,Kayla Peterson,LOY-3435,kennethkim@example.org,(946)697-8501,59:21.6,Credit Card,,Inhouse,1690,No,Mr. Steven Hodges,,402.71,"Milkshake, Fries, Cheeseburger, Burrito",16.02,10.99,14.92,Buy 1 Get 1 Free,Coupon-451
34,EtaBetaPi_HQ,Denver,Kimberly Thompson,25:31.8,Nathan Hernandez,25:41.6,Sydney Henderson,45:06.5,Cindy Nichols,LOY-2919,bwilliams@example.org,335-891-4929x8070,53:11.3,Digital Wallet,**** **** **** 8965,Inhouse,,Yes,Kimberly Thompson,,169.92,"Chicken Nuggets, Pasta, Pizza, Mozzarella Sticks",42.75,4.47,26.86,20% Off,Coupon-212
35,EtaBetaPi_10,Miami,Brian Obrien,55:54.1,Nathan Hernandez,10:44.1,Danielle Luna,57:48.4,Reginald Hanson,LOY-3956,sierra39@example.net,+1-379-727-4829x8364,20:45.2,Digital Wallet,**** **** **** 6695,Online,72I 348,Yes,Paul King,55:33.5,402.29,"Pizza, Chicken Nuggets",10.26,16.66,10.8,,Coupon-897
36,EtaBetaPi_20,Detroit,Elizabeth Bennett,30:03.6,Brian Obrien,56:54.6,Jack Swanson,20:07.1,Warren Riley,,suttonjonathan@example.org,9178539975,24:14.7,Credit Card,,Inhouse,XOQ 237,Yes,Joshua Fitzpatrick,02:08.1,214.75,"Smoothie, Milkshake, Salad, Hot Dog",44.76,1.87,27.52,Free Fries with Burger,
37,EtaBetaPi_05,Indianapolis,Donna Smith,19:43.3,Ellen Morgan,40:05.1,Paul King,51:46.1,Seth Oliver,LOY-8819,scottkatherine@example.net,+1-730-656-5161x7775,07:24.2,Digital Wallet,**** **** **** 7805,Uber Eats,,Yes,Nicole Pittman,00:39.8,152.37,"Pasta, Cheeseburger, Coke",32.98,16.39,1.83,,Coupon-806
38,EtaBetaPi_01,Indianapolis,Brian Obrien,46:27.8,Ellen Morgan,41:08.3,Alicia Dixon,42:26.8,Wendy Gross,LOY-5326,rita57@example.org,001-661-456-0424x426,06:43.8,Cash,**** **** **** 9634,Uber Eats,672 LVC,Yes,Kristin Lester,,117.13,Ice Cream,49.41,17.99,28.47,Family Pack Offer,
39,EtaBetaPi_26,Dallas,Seth Pope,49:07.1,Deanna Wood,07:50.7,Joshua Fitzpatrick,46:29.2,Jenna Goodwin,LOY-5358,william79@example.net,001-419-428-7548x096,17:01.1,Digital Wallet,,Online,,No,Jeffery Luna,11:07.4,314.83,"Milkshake, Fries",45.44,3.86,8.83,Free Fries with Burger,Coupon-654
40,EtaBetaPi_16,Orlando,Nicole Pittman,36:58.2,Jennifer Oliver,18:02.1,Leah Gonzales,34:04.8,Cynthia Aguirre,LOY-6626,cervantesjames@example.org,+1-917-534-0832x673,18:06.7,Credit Card,**** **** **** 3960,Uber Eats,,No,Nathan Hernandez,,157.87,Pepsi,38.29,17.03,8.93,Buy 1 Get 1 Free,Coupon-541
41,EtaBetaPi_08,Baltimore,Bobby Tucker,07:02.3,Ricardo Kirk,10:41.1,Jonathan Smith,28:55.5,Christine Foster,LOY-1419,erikahale@example.com,841-915-5313x3219,55:23.0,Digital Wallet,,Inhouse,,No,Ricardo Kirk,42:07.8,368.38,Ice Cream,9.5,11.17,1.81,20% Off,
42,EtaBetaPi_19,Boston,Sara Moore MD,38:05.5,Michael Johnson,35:06.5,Paul King,07:47.7,Sheena Randall,LOY-1498,bsmith@example.com,223.220.8427x89515,33:28.6,Cash,**** **** **** 7069,Drive Through,MAT 010,Yes,Joshua Norton,35:49.0,388.21,"Chicken Nuggets, Pizza, Mozzarella Sticks",42.73,17.45,14.67,,
43,EtaBetaPi_29,Nashville,Joshua Norton,58:45.7,Kara Sanchez,30:25.6,Sydney Henderson,32:52.7,Cindy Nichols,LOY-3767,kimbethany@example.com,542.328.4542x282,58:02.5,Credit Card,**** **** **** 4621,Inhouse,,No,Kara Sanchez,,380.15,Hot Dog,39.34,17.83,26.57,Family Pack Offer,
44,EtaBetaPi_12,Philadelphia,Michael Johnson,59:25.5,Alicia Dixon,54:10.9,Dale Sims,50:03.7,Mark Moody,LOY-2508,james11@example.org,488.954.0490x57296,23:31.0,Cash,,Inhouse,,Yes,Danielle Luna,22:45.7,464.09,"Veggie Burger, Milkshake, Chicken Sandwich",7.29,14.31,21.77,,
45,EtaBetaPi_22,Houston,Bobby Tucker,58:18.3,Christopher Sanchez,26:06.2,Kristin Lester,24:23.7,Allison Leach,,daltonmario@example.com,(946)697-8501,58:51.6,Cash,**** **** **** 6202,Drive Through,,Yes,Michael Johnson,,347.33,"Chicken Sandwich, Pizza, Hot Dog",41.2,6.96,20.49,Family Pack Offer,Coupon-286
46,EtaBetaPi_23,Los Angeles,Joshua Fitzpatrick,05:39.8,Kristin Lester,30:15.1,Joshua Norton,49:38.1,Matthew Howard,LOY-6756,briancastro@example.org,362-264-1004x361,35:20.2,Digital Wallet,**** **** **** 7374,Inhouse,MEZ 723,No,Sydney Henderson,59:37.4,219.68,"Veggie Burger, Milkshake, Fries",7.78,9.1,3.18,Free Fries with Burger,
47,EtaBetaPi_26,Miami,Danielle Luna,40:38.4,Tammie Murphy,44:23.8,Cristina Duke,55:58.0,Robert Gallegos,LOY-2970,stephensbenjamin@example.com,(502)284-9267,11:50.8,Digital Wallet,,Drive Through,,Yes,Mr. Steven Hodges,08:44.0,112.03,"Milkshake, Pepsi, Mozzarella Sticks, Onion Rings",24.16,9.5,22.32,,
48,EtaBetaPi_28,Denver,Elijah Bailey,46:16.0,Seth Pope,32:17.5,Kara Sanchez,35:59.7,Taylor Norman,LOY-8779,james11@example.org,794.524.6680,52:13.0,Digital Wallet,**** **** **** 2939,Inhouse,,No,Dale Sims,,319.55,"Fries, Hot Dog, Coke, Cheeseburger",26.66,4.17,15.83,20% Off,Coupon-229
49,EtaBetaPi_16,Indianapolis,Ricardo Kirk,54:30.9,Margaret Fisher,03:07.7,Kimberly Thompson,35:05.9,Robert Key,LOY-2376,martinezchristine@example.com,542.328.4542x282,37:52.4,Cash,,Drive Through,481DG,No,Kimberly Thompson,,17.71,"Chicken Nuggets, Fish Sandwich, Coffee",30.57,11.68,0.83,,Coupon-467
50,EtaBetaPi_13,Nashville,Brittany Smith,28:45.8,Deanna Wood,51:43.3,Paul King,47:06.0,Cindy Nichols,LOY-5877,rebeccahunt@example.org,592-294-6079,22:37.8,Digital Wallet,**** **** **** 3789,Inhouse,MHE 935,Yes,Sydney Henderson,,254.89,"Taco, Burrito",6.65,5.61,20.95,Buy 1 Get 1 Free,
51,EtaBetaPi_07,Philadelphia,Jeffery Luna,58:57.4,Sydney Henderson,41:48.8,Michael Johnson,35:39.1,Taylor Norman,LOY-7770,johnwalker@example.com,-10174,17:24.7,Cash,**** **** **** 9943,Online,,No,Joshua Fitzpatrick,,461.52,"Taco, Coffee, Onion Rings",14.49,11.63,24.6,20% Off,
52,EtaBetaPi_14,Indianapolis,Eric Nelson,23:14.2,Tammie Murphy,56:54.6,Sara Moore MD,03:15.7,Taylor Norman,LOY-2739,kennethkim@example.org,350.474.8770x101,32:35.9,Cash,**** **** **** 8425,Inhouse,CVK 178,Yes,Samuel Parker,,181.86,"Burrito, Pepsi, Taco, Hot Dog",7.05,13.4,20.68,20% Off,
53,EtaBetaPi_21,Phoenix,Kelly Perkins,48:43.2,Bobby Tucker,39:58.0,Elizabeth Bennett,57:49.5,Michael White,LOY-8697,ochoatammy@example.org,975.501.6547x30901,35:45.5,Credit Card,,Inhouse,,Yes,Cristina Duke,,13.96,"Mozzarella Sticks, Salad, Ice Cream",36.68,1.24,5.83,Family Pack Offer,Coupon-529
54,EtaBetaPi_04,Phoenix,Ricardo Kirk,35:00.5,Tammie Murphy,15:07.6,Bobby Tucker,41:03.6,Jessica Brooks,LOY-6409,rebeccahunt@example.org,001-205-309-1667,37:15.0,Cash,,Uber Eats,N19 0FH,Yes,Kara Sanchez,,269.66,"Taco, Chicken Sandwich, Pizza",32.66,13.91,26.16,Family Pack Offer,
55,EtaBetaPi_05,Philadelphia,Randy Schmidt,01:33.1,Jack Swanson,37:52.8,Donna Smith,06:18.9,Karen Flores,LOY-5418,rita57@example.org,794.524.6680,39:20.1,Digital Wallet,**** **** **** 8294,Drive Through,ZGS 377,No,Donna Smith,,346.25,"Pasta, Mozzarella Sticks, Burrito, Chicken Sandwich",28.71,8.17,15.65,Free Fries with Burger,
56,EtaBetaPi_14,San Diego,Destiny Barrett,40:59.3,Bobby Tucker,04:47.8,Ricardo Kirk,14:52.9,Robert Key,LOY-9840,jamesstein@example.com,722.717.8124x5806,29:50.2,Cash,**** **** **** 9863,Uber Eats,,Yes,Danielle Luna,12:03.0,172.53,"Pasta, Pepsi",11.32,10.16,15.49,Buy 1 Get 1 Free,Coupon-997
57,EtaBetaPi_22,Dallas,Nicole Pittman,58:13.8,Michael Johnson,55:36.3,Jack Swanson,11:43.6,Abigail Flores,LOY-5158,kclark@example.com,(580)214-9514x486,32:20.4,Digital Wallet,,Drive Through,ZZW 300,Yes,Jonathan Smith,33:00.4,72.15,"Burrito, Chicken Sandwich, Pepsi",30.31,6.6,23.97,,Coupon-111
58,EtaBetaPi_27,San Diego,Bryan Sanders,28:02.5,Sydney Henderson,51:35.7,Elizabeth Bennett,55:49.3,Carol Brown,LOY-2457,efischer@example.com,001-390-869-9753x40101,37:07.8,Cash,,Drive Through,3D 9G9WMW,No,Kelly Perkins,43:27.8,114.86,Cheeseburger,49.7,9.62,3.01,20% Off,Coupon-226
59,EtaBetaPi_07,San Francisco,Sean Wilson DDS,48:01.5,Elijah Bailey,04:37.0,Jonathan Smith,11:18.0,James Day,LOY-8039,mitchelljoshua@example.org,332.478.9568x866,54:36.7,Cash,**** **** **** 9457,Inhouse,,Yes,Ashley Lynch,,327.96,"Chicken Sandwich, Coke",16.11,7.97,25.53,,
60,EtaBetaPi_11,Columbus,Dale Sims,09:13.5,Mallory Patrick,17:51.9,Jessica Maxwell,34:01.3,Mark Ball,LOY-9215,kennethkim@example.org,542.328.4542x282,09:10.2,Cash,**** **** **** 7790,Inhouse,989-508,No,Seth Pope,19:01.8,29.33,"Pizza, Pasta",11.68,13.42,18,,
61,EtaBetaPi_10,Atlanta,Holly Gordon,35:20.9,Lisa Murphy,14:50.1,Paul King,13:09.9,Warren Riley,LOY-6839,erinbrock@example.org,335-891-4929x8070,45:39.5,Digital Wallet,**** **** **** 8655,Inhouse,,No,Donna Smith,56:48.0,186.58,"Chicken Nuggets, Salad, Milkshake, Fries",35,10.34,25.27,20% Off,Coupon-892
62,EtaBetaPi_12,Nashville,Eric Nelson,12:46.1,Christopher Sanchez,55:56.2,Margaret Fisher,45:12.1,Robert Key,LOY-5584,fblanchard@example.net,880-688-2982,30:58.2,Cash,,Online,,Yes,Sue Gillespie,49:48.8,119.5,"Coke, Fries",37.26,2.95,14.29,,
63,EtaBetaPi_26,Orlando,Michael Johnson,26:17.2,Nicole Pittman,22:22.4,Dale Sims,08:54.7,Robert Young,LOY-6845,upierce@example.net,287-230-3522x452,31:32.5,Credit Card,**** **** **** 9013,Uber Eats,YYC 688,No,Jack Swanson,,366.51,"Ice Cream, Fries",9.46,3.72,12.6,,
64,EtaBetaPi_HQ,Las Vegas,Randy Schmidt,56:34.8,Kimberly Thompson,58:37.7,Alicia Dixon,38:48.1,Jasmine Hill,LOY-9319,upierce@example.net,(744)694-6467x10220,10:49.4,Digital Wallet,,Drive Through,559 HDC,No,Ellen Morgan,58:05.6,344.64,"Mozzarella Sticks, Burrito, Salad, Coke",10.9,5.92,6.35,Family Pack Offer,Coupon-491
65,EtaBetaPi_25,Atlanta,Bobby Tucker,27:56.9,Nathan Hernandez,25:18.7,Kristin Lester,08:54.5,Nicole Mclean,LOY-3606,scottkatherine@example.net,332.478.9568x866,33:23.7,Credit Card,,Drive Through,,Yes,Jonathan Smith,,46.49,Milkshake,26.23,7.28,28.67,Family Pack Offer,
66,EtaBetaPi_02,Indianapolis,Bryan Sanders,11:35.6,Kara Sanchez,45:06.1,Tammie Murphy,57:44.6,David Hernandez,LOY-7111,rmoore@example.net,(355)907-5187x60752,10:47.0,Cash,**** **** **** 2076,Drive Through,086-JJN,Yes,Sean Wilson DDS,04:38.0,452.85,"Pasta, Fries, Veggie Burger, Hot Dog",49.04,15.52,15.26,Free Fries with Burger,Coupon-794
67,EtaBetaPi_17,Charlotte,Sue Gillespie,12:02.6,Ellen Morgan,50:25.2,Destiny Barrett,08:53.4,Lauren King,LOY-1190,smurphy@example.org,001-536-963-2500x5101,52:35.7,Cash,**** **** **** 8559,Drive Through,,No,Brittany Smith,41:42.6,464.91,Fish Sandwich,1.85,11.49,19.41,Family Pack Offer,Coupon-517
68,EtaBetaPi_19,New York,Jack Swanson,22:43.3,Randy Schmidt,42:29.6,Jennifer Oliver,55:24.9,Robert Young,LOY-7303,ramossara@example.org,747.987.7025x0969,31:03.9,Cash,,Inhouse,,Yes,Jonathan Smith,37:41.4,289.73,"Chicken Nuggets, Burrito, Pizza",39.72,11.74,3.62,Free Fries with Burger,
69,EtaBetaPi_09,New York,Destiny Barrett,57:22.3,Jessica Maxwell,28:48.7,Jeffery Luna,54:15.1,Robert Gallegos,LOY-2669,wwilliams@example.net,357-903-5328x029,14:01.3,Digital Wallet,,Online,,No,Holly Gordon,,206.36,"Taco, Chicken Nuggets, Pasta, Fries",47.44,8.36,23.18,Buy 1 Get 1 Free,Coupon-808
70,EtaBetaPi_30,Phoenix,Ellen Morgan,19:54.2,Sydney Henderson,52:50.8,Kristin Lester,04:58.3,Kelly Allen,LOY-3537,jeangarcia@example.net,(580)214-9514x486,57:56.9,Credit Card,,Drive Through,,Yes,Nicole Pittman,25:39.1,115.54,"Coke, Onion Rings, Hot Dog, Smoothie",27.19,0.12,5.62,Free Fries with Burger,
71,EtaBetaPi_15,Baltimore,Margaret Fisher,29:32.0,Kara Sanchez,35:16.3,Lisa Murphy,20:02.7,Joseph House,LOY-4527,mitchelljoshua@example.org,5089813979,21:52.4,Digital Wallet,**** **** **** 8490,Drive Through,,Yes,Andrea Vasquez,37:08.9,468.94,"Chicken Sandwich, Chicken Nuggets",13.24,7.99,1.76,Buy 1 Get 1 Free,
72,EtaBetaPi_01,Charlotte,Kimberly Thompson,33:21.8,Tammie Murphy,34:36.9,Samuel Parker,14:28.5,Dawn Anderson,LOY-5922,melendezsusan@example.com,422-795-7889x871,42:10.3,Digital Wallet,**** **** **** 9180,Online,,No,Seth Pope,15:10.0,298.03,"Coke, Taco, Veggie Burger",26.47,9.34,26.4,20% Off,Coupon-618
73,EtaBetaPi_28,Atlanta,Ricardo Kirk,05:21.2,Mallory Patrick,43:03.7,Lisa Murphy,35:22.2,Kayla Peterson,LOY-7961,briancastro@example.org,636-753-6423x0138,56:58.7,Digital Wallet,,Uber Eats,,Yes,Mr. Steven Hodges,13:55.9,136.11,"Taco, Burrito, Hot Dog, Salad",24.61,17.25,3.95,Free Fries with Burger,Coupon-877
74,EtaBetaPi_07,New York,Lisa Murphy,39:39.3,Leah Gonzales,55:05.4,Bobby Tucker,34:33.7,Sheena Randall,LOY-4050,wjackson@example.net,001-390-869-9753x40101,01:57.5,Credit Card,,Online,,No,Mallory Patrick,,125.33,Ice Cream,13.15,9.23,23.81,Family Pack Offer,Coupon-273
